humidity,temp,dewSpread,cloudLow,cloudMid,cloudHigh,cloudTotal,wind,pressure,precip24,precip48,precipToday,wetThenClear,nightCloudHigh,nightCloudTotal,nightCloudLow,nightCooling,windDir,humidityNight,humidityRise,elevation,month,label,date,lat,lon,source
96.75,-4.85,0.5000000000000001,100,0,0,100,1.35,1022.25,2.5,5.5,6.1000000000000005,0,0.2,100,100,1.0166666666666666,202,99.6,-2.8499999999999943,3077,3,1,2024-03-10,29.52,103.33,xhs-search
89.75,-2.8749999999999996,1.4500000000000002,100,0,0,100,1.35,1016.7249999999999,0.2,2.3000000000000007,0,0,4.8,59.2,57.8,2.6499999999999995,225,96.8,-7.049999999999997,2507,3,1,2024-03-03,32.53,106.68,xhs-search
93.25,-11.799999999999999,0.875,75,1,0,75,5.7749999999999995,1032.175,8.7,15.2,1.4,0,0,100,100,1.5166666666666657,4,96,-2.75,1864,2,1,2024-02-25,30.13,118.17,xhs-search
98.5,8.724999999999998,0.22499999999999964,84,51.25,0,88.75,10.725,1008.025,0,0,14.2,0,0,91.2,85.8,-0.2666666666666675,225,96.2,2.299999999999997,1729,2,1,2024-02-18,31.13,115.78,xhs-search
78.75,1.9749999999999999,3.325,13.5,0,0,13.5,7.7,1030.475,0,0,0,0,0,0,0,2.4333333333333336,337,62.2,16.549999999999997,900,2,1,2024-02-11,29.77,121.07,xhs-search
78.25,-5.375,3.175,100,3.5,1.75,100,7.775,1035.075,0.7,1.6000000000000003,0.2,0,31,100,100,2.2333333333333334,69,89,-10.75,3660,1,1,2024-01-28,29.66,102.35,xhs-search
98,-8.5,0.2250000000000001,100,100,0,100,6.725,1026.675,7.299999999999997,11.899999999999995,13.499999999999996,0,1.6,100,100,1.5333333333333332,357,99.2,-1.2000000000000028,3077,1,1,2024-01-21,29.52,103.33,xhs-search
71.75,6.300000000000001,4.800000000000001,0,0,0,0,7.35,1021.1750000000001,0,0,0.1,0,0,0,0,1.866666666666668,231,72.2,-0.45000000000000284,719,1,1,2024-01-14,30.63,119.87,xhs-search
92.5,-2.5749999999999997,1.0750000000000002,0,0.5,0,0.5,6.9,1028.525,0,0.1,0,0,0,0,0,4.783333333333333,77,81.4,11.099999999999994,1817,1,1,2024-01-07,28.91,118.06,xhs-search
87.75,4.699999999999999,1.9999999999999998,0,0.5,85.75,85.75,0.875,1025.9,0,0.7999999999999999,0,0,100,100,0,1.916666666666666,349,83.4,4.349999999999994,2507,10,1,2025-10-27,32.53,106.68,xhs-search
93.5,5.75,0.9749999999999996,3,100,100,100,2.45,1021.325,0.1,0.1,6.9,0,99.6,99.8,10.4,1.1000000000000005,3,89.6,3.9000000000000057,2507,10,1,2025-10-29,32.53,106.68,xhs-search
99.75,3.925,0.050000000000000044,99.75,0,0.25,99.75,3.625,1023.125,6.9,7.000000000000001,0,0,27,97,95.4,1.783333333333334,342,99.8,-0.04999999999999716,2507,10,1,2025-10-30,32.53,106.68,xhs-search
58.25,2.45,7.5,0,0,0,0,0.7999999999999999,1017.575,0,0,0,0,0,0,0,-1.6653345369377348e-16,333,68,-9.75,2507,11,1,2025-11-29,32.53,106.68,xhs-search
98.5,8.85,0.19999999999999973,98,1,0,98,2.45,1013.0250000000001,12.399999999999999,17.299999999999997,3.4,0,0,97.4,96.8,1.1000000000000014,48,99,-0.5,1729,4,1,2026-04-14,31.13,115.78,xhs-search
97,7.625,0.5,72.5,0,0,72.5,6.2,1009.875,6.4,10.699999999999998,0,0,0,33.2,33.2,1.0999999999999988,320,98,-1,1729,4,1,2026-04-04,31.13,115.78,xhs-search
58,2.275,7.4750000000000005,0,5.75,94.25,94.25,2.9000000000000004,1028.05,0,6.299999999999999,0,0,79.6,79.6,0,1.8166666666666669,6,68.6,-10.599999999999994,1729,3,1,2026-03-13,31.13,115.78,xhs-search
84.25,-3.7500000000000004,2.3,0,11.75,19.75,24.75,5.8500000000000005,1028.85,0,6.899999999999998,0,0,15.2,18.8,1.6,2.5333333333333328,332,95.6,-11.349999999999994,1729,2,1,2026-02-18,31.13,115.78,xhs-search
76.75,0.95,3.75,99.25,90.75,0,100,22.35,1035.575,0,0,3.5999999999999996,0,0,99,65.8,4.633333333333333,38,90,-13.25,1729,11,1,2025-11-17,31.13,115.78,xhs-search
62.5,8.6,6.775,0,0,0,0,3.4250000000000003,1024.7,0,0,0,0,0,16.8,0,2.2333333333333325,324,76.8,-14.299999999999997,1729,11,1,2025-11-16,31.13,115.78,xhs-search
84.5,18.55,2.6500000000000004,0.5,0,41.5,42,4.825,1015.5,1.1,5.399999999999998,0,1,2.4,5.8,3.4,0.9166666666666679,254,91.4,-6.900000000000006,1729,10,1,2025-10-05,31.13,115.78,xhs-search
91.5,-6.05,1.1500000000000001,69,83.25,67.25,84.5,4.25,1018.875,14.100000000000001,21.000000000000004,0,0,99.4,100,96.4,3.1,274,95.4,-3.9000000000000057,3500,4,0,2026-04-23,28.45,98.67,xhs
23.5,7.449999999999999,19.599999999999998,0,0,0,0,9.775,1020.4000000000001,3,3,0,1,0,0,0,4.950000000000001,308,19.4,4.100000000000001,1291,4,0,2026-04-20,39.97,116.06,xhs
99.5,16.625,0.09999999999999964,100,4,99.5,100,3.0500000000000003,1013.1,11.900000000000002,12.300000000000002,0.1,0,91.4,100,83.8,2,251,100,-0.5,1530,4,0,2026-04-17,30.02,119.43,xhs
56,0.025000000000000022,7.8,0,0,89.75,89.75,3.5,1023.05,0,0,0,0,72.2,72.2,0,-0.21666666666666656,273,52.6,3.3999999999999986,1000,12,0,2025-12-28,30,119,xhs
96.5,17.4,0.6000000000000005,100,97.5,0.5,100,5.074999999999999,1019.125,0.8,13.699999999999998,11.8,0,0.2,86.8,82.8,-0.41666666666666785,360,92.6,3.9000000000000057,1200,11,0,2025-11-08,30,118,xhs
95.75,16.775,0.6750000000000007,73.5,2.75,0,73.75,9.7,1016.4000000000001,2.9000000000000004,7.4999999999999964,0,0,0,94,93.8,1,52,97.6,-1.8499999999999943,1000,9,0,2025-09-22,30,119,xhs
96.75,22.875,0.5999999999999988,71.75,0,0,71.75,4.775,1011.7,0.1,0.1,0.6,0,0,50.2,50.2,1.8999999999999986,313,97.4,-0.6500000000000057,1291,8,0,2025-08-17,39.97,116.06,xhs
80.75,18.1,3.5249999999999995,0,70.75,93.25,97.75,12.075000000000001,994.575,33.800000000000004,34,2.3000000000000003,0,39,49.2,4.2,2.799999999999997,296,93,-12.25,1291,6,0,2025-06-15,39.97,116.06,xhs
22.75,-3.35,18.3,0,0,0,0,3.5250000000000004,1032.575,0,0,0,0,0,0,0,1.9833333333333332,259,25.2,-2.4499999999999993,1291,12,0,2024-12-08,39.97,116.06,xhs-search
45,0.7249999999999999,10.725000000000001,0,0,40.75,40.75,6.775,1017.7499999999999,0,0,0,0,3.2,3.2,0,1.5166666666666666,174,45,0,1545,11,0,2024-11-30,36.25,117.1,xhs-search
89.75,20.2,1.7249999999999996,10.5,83.25,23.5,86.75,8.774999999999999,1018.575,13.599999999999998,13.899999999999999,5.3,0,48.6,70.8,15.2,2.183333333333337,70,91.4,-1.6500000000000057,1918,10,0,2024-10-19,27.51,114.15,xhs-search
96.75,13.5,0.49999999999999956,3.5,0,0,3.5,4.675000000000001,1014.75,13.9,15.2,0,1,0,4.6,4.6,2.1333333333333364,135,97.2,-0.45000000000000284,1864,9,0,2024-09-28,30.13,118.17,xhs-search
90.75,20.15,1.625,0,0,63,63,6.025,1010.1500000000001,0,0.1,2.3000000000000003,0,37.4,38.6,0,3.7333333333333307,135,87.2,3.549999999999997,1545,8,0,2024-08-25,36.25,117.1,xhs-search
92.5,18,1.2249999999999996,14.25,100,89.75,100,6.3999999999999995,1008,6.800000000000001,9.700000000000001,9.1,0,85.4,100,11.6,1.3333333333333321,187,93.2,-0.7000000000000028,1864,7,0,2024-07-14,30.13,118.17,xhs-search
76.5,26,4.475,0,0,40.75,40.75,8.175,1006.9250000000001,0,0,0,0,68,68,0,2.966666666666665,170,78.8,-2.299999999999997,1918,7,0,2024-07-07,27.51,114.15,xhs-search
53.5,18.2,9.575,0,0,0,0,5.05,1007.925,0,0,0,0,19.8,19.8,0,7.25,300,53.6,-0.10000000000000142,1291,6,0,2024-06-16,39.97,116.06,xhs-search
91,9.05,1.375,89.25,98.25,32.75,99.5,12.7,1010.8,15.3,35.6,11.2,0,68.8,100,40,0.7500000000000018,101,90.8,0.20000000000000284,1817,6,0,2024-06-02,28.91,118.06,xhs-search
91,14.200000000000001,1.4499999999999997,29.5,32.25,100,100,6.525,1005.55,0.1,0.2,7.4,0,100,100,29.2,4.233333333333334,180,87,4,1545,5,0,2024-05-26,36.25,117.1,xhs-search
58.75,11.450000000000001,9.075,0,0,0,0,15.2,1010.075,0.8,0.8,1.6,0,11.8,37.2,33.8,4.349999999999998,310,93.2,-34.45,1291,4,0,2024-04-15,39.97,116.06,xhs-search
64,6.675,6.275,0,0,0,0,4.575,1027.45,0,8.6,0,0,0.2,1,0,1.333333333333333,99,56.2,7.799999999999997,1474,3,0,2024-03-20,29.56,115.97,xhs-search
95.5,1.025,0.625,99,99.75,100,100,5.550000000000001,1024.4,2.6000000000000005,13.499999999999995,23.099999999999998,0,68.8,100,99.8,0.3833333333333333,106,96.4,-0.9000000000000057,1918,2,0,2024-02-04,27.51,114.15,xhs-search
36,-10.975000000000001,12.2,0,0,0,0,4.225,1035.775,0.2,0.2,0,0,0,0,0,2.2333333333333325,117,59.2,-23.200000000000003,1545,1,0,2024-01-15,36.25,117.1,xhs-search
